,,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,,,-additional
Rk,Player,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
1,Nico Hoerner,29,252,.338,116,.263,.114,1.6,7.9,10.3,85.0,26.1,27.7,39.1,23.8,0.64,19.8,60.9,19.3,0.3,-0.1%,3.76,24.4,90.9,56.5,*4/6H,,hoernni01
2,Alex Bregman,32,251,.322,110,.307,.099,1.6,17.1,10.0,88.9,43.0,27.2,40.6,22.2,0.68,35.0,53.9,11.1,0.5,0.3%,-2.63,24.4,66.7,35.0,*5/DH,,bregmal01
3,Michael Busch,28,243,.349,128,.284,.157,2.5,21.8,15.6,88.3,43.5,18.4,39.5,37.4,0.66,34.0,49.0,17.0,1.6,1.0%,16.63,20.5,100.0,29.2,*3/H,,buschmi02
4,Ian Happ,31,234,.357,134,.284,.221,4.7,32.1,15.8,89.7,42.9,18.3,36.7,35.8,0.58,32.5,48.3,19.2,0.1,0.0%,-0.06,35.7,100.0,27.3,*7/D,,happia01
5,Pete Crow-Armstrong,24,230,.307,96,.285,.139,2.6,25.7,9.1,89.4,48.6,18.1,36.8,29.2,0.62,41.0,47.9,11.1,0.5,0.7%,0.90,34.8,75.0,30.8,*8/H,,crowape01
6,Dansby Swanson,32,210,.308,97,.209,.156,3.3,21.9,12.4,89.3,43.7,16.8,43.1,32.1,0.77,31.4,54.0,14.6,-0.5,-0.6%,-0.47,46.3,100.0,65.5,*6/D,,swansda01
7,Seiya Suzuki,31,178,.332,117,.284,.162,3.9,25.8,11.2,88.9,42.2,25.7,34.9,27.5,0.54,27.5,54.1,18.3,-1.4,-1.1%,-6.57,30.8,,15.4,9/DH,,suzukse01
8,Carson Kelly,31,152,.360,137,.371,.090,1.3,17.8,9.9,89.6,40.2,21.5,47.7,22.4,0.91,25.2,62.6,12.1,0.4,-0.1%,5.42,28.1,,31.3,2/H3D,,kellyca02
9,Moises Ballesteros,22,140,.325,112,.253,.187,4.3,20.0,10.7,91.0,49.5,25.8,43.3,24.7,0.76,26.8,51.5,21.6,0.5,0.2%,6.19,23.7,,50.0,*D/H2,,ballemo01
10,Matt Shaw,24,104,.312,101,.267,.158,2.9,17.3,5.8,85.1,35.4,29.1,36.7,21.5,0.60,24.1,51.9,24.1,-0.8,-0.5%,-2.66,22.6,75.0,28.6,H9/D45378,,shawma01
11,Miguel Amaya,27,92,.353,132,.278,.143,3.3,21.7,12.0,85.3,25.9,15.5,37.9,32.8,0.63,27.6,51.7,20.7,0.3,0.0%,2.29,37.9,,33.3,2/DH3,,amayami01
12,Michael Conforto,33,86,.404,169,.340,.278,4.7,25.6,15.1,94.4,52.9,29.4,33.3,35.3,0.50,35.3,54.9,9.8,1.3,0.9%,4.66,27.6,,50.0,DH/97,,confomi01
13,Pedro Ramirez,22,8,.359,137,.286,.143,0.0,0.0,12.5,90.9,57.1,14.3,85.7,0.0,6.00,42.9,57.1,0.0,-0.1,0.0%,0.24,33.3,,100.0,/45H,,ramirpe01
14,Nicky Lopez,31,5,.000,-120,.000,.000,0.0,40.0,0.0,69.9,33.3,0.0,66.7,0.0,,33.3,66.7,0.0,0.0,0.0%,-0.67,,,,/5H4,,lopezni01
15,Scott Kingery,32,4,.290,44,.250,.000,0.0,0.0,0.0,77.1,0.0,0.0,25.0,50.0,0.33,50.0,50.0,0.0,0.0,0.0%,-1.30,25.0,100.0,33.3,/HD45,,kingesc01
16,Dylan Carlson,27,4,.000,-120,.000,.000,0.0,50.0,0.0,84.5,0.0,0.0,50.0,50.0,1.00,100.0,0.0,0.0,-0.1,-0.1%,-1.05,,,100.0,/H79D,,carlsdy01
17,Kevin Alcantara,23,3,.233,47,,.000,0.0,66.7,33.3,,,,,,,,,,0.0,0.0%,-0.30,0.0,,0.0,/H78D,,alcanke01
,League Average,,,.320,100,.288,.149,2.8,21.9,9.0,88.4,39.9,23.3,42.5,26.1,0.75,30.6,52.1,17.3,,,,31.1,77.2,42.5,,,-9999
,Team Totals,,2196,.334,117,.281,.150,2.9,21.1,11.6,88.4,40.6,22.6,39.7,28.1,0.67,30.3,53.6,16.1,2.4,0.7%,24.37,29.4,83.3,39.5,,,-9999
