Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Pete Crow-Armstrong,24,CF,3.0,67,277,254,35,66,10,2,11,32,14,4,23,70,.260,.341,.445,.786,122,.346,122,113,2,7,1,1,1,*8/H,,crowape01
2,Ian Happ,31,LF,1.8,61,274,236,42,55,15,1,14,34,2,0,38,88,.233,.347,.487,.834,133,.361,133,115,5,2,0,2,3,*7/D,,happia01
3,Nico Hoerner,29,2B,1.6,65,296,266,30,66,14,0,4,33,12,2,30,20,.248,.331,.346,.677,97,.308,97,92,4,4,0,3,0,*4/6H,,hoernni01
4,Michael Busch,28,1B,1.5,65,287,244,28,60,15,1,6,36,1,0,43,67,.246,.369,.393,.762,120,.343,120,96,2,5,0,2,1,*3/H,,buschmi02
5,Seiya Suzuki,31,RF,1.2,51,217,194,26,48,6,0,9,21,0,0,23,55,.247,.336,.418,.754,112,.331,112,81,4,3,0,1,3,9/DH,,suzukse01
6,Dansby Swanson,32,SS,1.1,57,240,210,35,38,7,1,7,28,5,1,30,56,.181,.285,.324,.609,75,.277,75,68,2,1,1,3,0,*6/D,,swansda01
7,Alex Bregman,32,3B,1.0,65,297,268,27,65,10,1,5,19,2,1,29,51,.243,.327,.343,.670,93,.302,93,92,7,3,0,1,2,*5/DH,,bregmal01
8,Miguel Amaya,27,C,0.7,39,111,97,16,22,4,0,3,10,0,0,14,24,.227,.358,.361,.719,112,.331,112,35,4,3,1,0,0,2/DH3,,amayami01
9,Carson Kelly,31,C,0.5,48,175,160,20,45,6,0,2,18,0,0,15,30,.281,.354,.356,.710,108,.324,108,57,3,3,0,0,0,2/H3D,,kellyca02
10,Michael Conforto,33,OF,0.5,41,104,89,14,22,10,0,4,13,1,0,15,30,.247,.356,.494,.850,138,.368,138,44,1,1,0,1,0,DH/97,,confomi01
11,Moises Ballesteros,22,DH,0.1,51,156,140,17,33,6,0,6,22,0,0,16,32,.236,.314,.407,.721,104,.319,104,57,0,0,0,2,0,*D/H2,,ballemo01
12,Matt Shaw,24,UT,0.0,38,104,98,11,24,6,0,3,12,3,1,6,18,.245,.291,.398,.689,94,.304,94,39,2,1,1,1,0,H9/D45378,,shawma01
13,Pedro Ramirez,22,IF,-0.1,4,8,7,1,2,1,0,0,1,0,0,1,0,.286,.375,.429,.804,136,.359,137,3,1,0,0,0,0,/45H,,ramirpe01
14,Nicky Lopez,31,IF,-0.1,4,5,5,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-120,0,0,0,0,0,0,/5H4,,lopezni01
15,Scott Kingery,32,IF,-0.2,8,4,4,2,1,0,0,0,0,1,0,0,0,.250,.250,.250,.500,48,.290,44,1,0,0,0,0,0,/HD45,,kingesc01
16,Dylan Carlson,27,OF,-0.2,3,4,4,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-120,0,0,0,0,0,0,/H79D,,carlsdy01
17,Kevin Alcantara,23,OF,0.1,4,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,9,.233,47,0,0,0,0,0,0,/H78D,,alcanke01
,Team Totals,,,11.8,68,2282,2062,286,547,110,6,74,282,41,9,295,548,.265,.341,.400,.741,110,.333,110,825,37,33,4,17,10,,,-9999
