Name,Age,PA,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Name-additional
Kevin Alcantara,23,3,0.0%,66.7%,33.3%,0.0%,,2.00,1.0,,,,,0%,,,,alcanke01
Miguel Amaya,27,92,3.3%,21.7%,12.0%,5.4%,28%,1.82,3.9,25.7,8.6,0.63,1.10,59%,16%,12.0%,29%,amayami01
Moises Ballesteros,22,140,4.3%,20.0%,10.7%,7.9%,38%,1.87,4.4,20.5,6.2,0.76,0.74,65%,26%,12.5%,13%,ballemo01
Alex Bregman,32,251,1.6%,17.1%,10.0%,5.2%,22%,1.72,5.2,55.5,13.9,0.68,0.78,70%,27%,4.6%,19%,bregmal01
Michael Busch,28,243,2.5%,21.8%,15.6%,7.4%,39%,1.39,3.7,33.0,6.4,0.66,0.82,58%,18%,7.4%,8%,buschmi02
Dylan Carlson,27,4,0.0%,50.0%,0.0%,0.0%,,,2.0,,,1.00,1.00,50%,0%,0.0%,0%,carlsdy01
Michael Conforto,33,86,4.7%,25.6%,15.1%,14.0%,60%,1.69,3.3,18.0,5.5,0.50,0.78,55%,29%,12.1%,3%,confomi01
Pete Crow-Armstrong,24,230,2.6%,25.7%,9.1%,6.1%,31%,2.81,3.4,33.5,8.4,0.62,0.72,60%,18%,9.0%,21%,crowape01
Ian Happ,31,234,4.7%,32.1%,15.8%,8.6%,48%,2.03,2.6,17.7,7.5,0.58,0.82,47%,18%,17.2%,16%,happia01
Nico Hoerner,29,252,1.6%,7.9%,10.3%,6.8%,30%,0.77,11.0,54.8,6.8,0.64,0.74,79%,28%,3.9%,16%,hoernni01
Carson Kelly,31,152,1.3%,17.8%,9.9%,5.3%,20%,1.80,5.0,67.0,7.9,0.91,1.06,69%,21%,4.3%,16%,kellyca02
Scott Kingery,32,4,0.0%,0.0%,0.0%,0.0%,0%,,,,,0.33,0.50,100%,0%,0.0%,33%,kingesc01
Nicky Lopez,31,5,0.0%,40.0%,0.0%,0.0%,,,2.5,,,,,60%,0%,,,lopezni01
Pedro Ramirez,22,8,0.0%,0.0%,12.5%,12.5%,50%,0.00,,,7.0,6.00,,88%,14%,0.0%,0%,ramirpe01
Matt Shaw,24,104,2.9%,17.3%,5.8%,8.7%,39%,3.00,5.3,31.7,7.9,0.60,0.66,72%,29%,7.7%,19%,shawma01
Seiya Suzuki,31,178,3.9%,25.8%,11.2%,6.2%,31%,2.30,3.3,22.0,9.1,0.54,0.79,57%,26%,12.1%,18%,suzukse01
Dansby Swanson,32,210,3.3%,21.9%,12.4%,6.2%,38%,1.77,3.9,25.6,6.6,0.77,0.92,61%,17%,11.1%,18%,swansda01
League Average,,,2.8%,21.9%,9.0%,7.3%,34%,2.44,4.1,32.2,7.8,0.75,0.96,65%,23%,8.3%,13%,-9999
Team Total,28.8,2196,2.9%,21.1%,11.6%,6.9%,34%,1.82,4.1,30.0,7.7,0.67,0.82,63%,23%,8.8%,16%,-9999
