Name,Age,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary,Name-additional
Kevin Alcantara,23,3,2,0,0.0,86,,.000,.234,.333,.307,.000,.378,.333,.685,9,.000,-0.2,0.0,.500,.500,.000,,/H8D7,alcanke01
Miguel Amaya,27,92,64,10,4.2,86,.278,.234,.234,.352,.307,.377,.377,.728,.685,114,.475,1.9,0.2,.683,.286,.143,.0,2/DH3,amayami01
Moises Ballesteros,22,140,96,18,5.0,86,.253,.236,.234,.314,.307,.423,.377,.737,.684,114,.557,2.5,0.3,.713,.309,.187,.0,*D/H2,ballemo01
Alex Bregman,32,251,173,27,4.2,86,.307,.261,.234,.343,.307,.360,.377,.703,.685,107,.473,2.8,0.3,.640,.216,.099,2.7,*5/DH,bregmal01
Michael Busch,28,243,156,32,5.5,86,.284,.232,.234,.366,.307,.389,.377,.755,.684,122,.597,8.2,0.8,.786,.354,.157,1.7,*3/H,buschmi02
Dylan Carlson,27,4,4,0,0.0,86,.000,.000,.234,.000,.307,.000,.378,.000,.685,-100,.000,-1.0,-0.1,.000,.000,.000,,/HD79,carlsdy01
Michael Conforto,33,86,54,16,7.9,86,.340,.278,.234,.384,.307,.556,.377,.939,.685,172,.744,7.5,0.7,1.000,.458,.278,.0,DH/97,confomi01
Pete Crow-Armstrong,24,230,164,25,4.1,86,.285,.224,.234,.314,.307,.363,.377,.678,.684,99,.462,-0.1,0.0,.691,.284,.139,8.0,*8/H,crowape01
Ian Happ,31,234,158,31,5.2,86,.284,.215,.234,.346,.307,.436,.377,.782,.684,128,.577,8.2,0.8,.797,.421,.221,3.4,*7/D,happia01
Nico Hoerner,29,252,171,31,4.9,86,.263,.256,.234,.341,.307,.370,.377,.711,.685,109,.542,4.1,0.4,.720,.274,.114,5.7,*4/6H,hoernni01
Carson Kelly,31,152,96,21,5.9,86,.371,.306,.234,.388,.307,.396,.377,.784,.685,131,.626,6.2,0.6,.740,.201,.090,.0,2/H3D,kellyca02
Scott Kingery,32,4,3,0,0.0,86,.250,.250,.234,.250,.307,.250,.378,.500,.685,48,.000,-0.3,0.0,.667,.250,.000,.0,/HD45,kingesc01
Nicky Lopez,31,5,5,0,0.0,86,.000,.000,.234,.000,.307,.000,.377,.000,.684,-100,.000,-1.3,-0.1,.000,.000,.000,,/5H4,lopezni01
Daniel Palencia,26,0,0,,,,,,,,,,,,,,.000,0.0,0.0,,,,,1,palenda01
Pedro Ramirez,22,8,6,1,4.5,86,.286,.286,.234,.375,.307,.429,.377,.804,.685,136,.504,0.4,0.0,.667,.286,.143,,/45H,ramirpe01
Ryan Rolison,28,0,0,,,,,,,,,,,,,,.000,0.0,0.0,,,,,1,rolisry01
Matt Shaw,24,104,77,11,3.8,86,.267,.242,.234,.291,.307,.400,.377,.691,.684,101,.434,0.1,0.0,.640,.242,.158,3.0,H9/D45387,shawma01
Seiya Suzuki,31,178,123,21,4.6,86,.284,.234,.234,.331,.307,.396,.377,.728,.685,113,.514,3.0,0.3,.689,.292,.162,.0,9/DH,suzukse01
Dansby Swanson,32,210,151,21,3.7,86,.209,.190,.234,.292,.307,.346,.377,.638,.685,87,.422,-2.5,-0.3,.633,.324,.156,5.1,*6/D,swansda01
Caleb Thielbar,39,0,0,,,,,,,,,,,,,,.000,0.0,0.0,,,,,1,thielca01
League Average,,,,,4.4,92,.288,.241,.241,.316,.316,.390,.389,.706,.705,100,.499,,,.669,.265,.148,,,-9999
Team Total,28.8,2196,1503,265,4.7,86,.281,.238,.234,.336,.307,.389,.377,.725,.685,112,.529,39.6,3.9,.712,.300,.150,45.0,,-9999
