Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,IL_status
1,Edgar Quero,23,C,-0.3,39,126,105,10,19,1,0,1,13,1,0,12,31,0.181,0.274,0.219,0.493,41,
2,Munetaka Murakami,26,1B,1.8,55,240,196,42,47,3,0,20,40,1,2,42,78,0.240,0.375,0.561,0.936,160,
3,Chase Meidroth,24,2B,1.5,53,227,198,33,54,9,0,5,18,1,1,23,51,0.273,0.345,0.394,0.739,108,
4,Colson Montgomery,24,SS,1.6,54,228,199,25,45,10,0,13,33,1,1,21,68,0.226,0.325,0.472,0.797,122,
5,Miguel Vargas,26,3B,2.0,54,235,192,39,45,8,1,12,31,8,0,36,40,0.234,0.366,0.474,0.840,135,
6,Sam Antonacci,23,LF,1.0,38,146,122,22,35,5,2,1,13,7,4,10,21,0.287,0.389,0.385,0.774,119,
7,Tristan Peters,26,CF,1.2,52,149,131,17,34,6,1,2,12,4,0,12,31,0.260,0.331,0.366,0.697,97,
8,Jarred Kelenic,26,RF,-0.3,19,59,53,3,12,2,0,1,4,0,0,6,20,0.226,0.305,0.321,0.626,77,DFA
9,Andrew Benintendi,31,DH,-0.8,49,173,158,17,36,8,2,3,23,1,0,11,49,0.228,0.273,0.361,0.634,77,
10,Luisangel Acuna,24,UT,-0.6,40,108,98,9,17,1,0,0,5,8,1,6,20,0.173,0.224,0.184,0.408,17,
11,Everson Pereira,25,RF,0.0,18,71,64,7,16,4,0,3,7,1,0,4,21,0.250,0.310,0.453,0.763,112,10-day IL
12,Derek Hill,30,OF,0.0,41,70,61,9,15,1,0,3,6,6,4,7,20,0.246,0.324,0.410,0.733,105,
13,Drew Romo,24,C,0.4,18,65,55,7,10,2,0,5,10,1,0,9,17,0.182,0.308,0.491,0.799,121,
14,Austin Hays,30,OF,-0.4,12,44,43,3,10,1,0,1,7,0,1,1,13,0.233,0.250,0.326,0.576,61,10-day IL
15,Reese McGuire,31,C,-0.5,11,34,29,1,5,0,0,0,3,0,0,2,9,0.172,0.273,0.172,0.445,29,
16,Randal Grichuk,34,OF,0.6,17,34,32,5,11,0,0,4,10,0,0,1,6,0.344,0.382,0.719,1.101,203,
17,Tanner Murray,26,UT,0.1,13,33,28,2,6,0,0,1,3,0,0,2,7,0.214,0.281,0.321,0.603,70,60-day IL
18,Lenyn Sosa,26,IF,-0.3,12,33,33,2,7,3,0,0,3,0,0,0,7,0.212,0.212,0.303,0.515,43,
19,Dustin Harris,26,OF,0.2,6,16,12,2,3,1,0,0,1,2,0,4,1,0.250,0.438,0.333,0.771,121,
20,Rikuu Nishida,25,UT,0.2,3,7,7,1,2,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,62,
